r1,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.002537242,0.001994701,0.003018885,0.012109676,0.008268608,0.006432318
standard deviation,0.003476619,0.002269836,0.00386118,0.016193724,0.010053634,0.008033879
r2,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.00167076,0.003327556,0.001425536,0.011580428,0.010542588,0.004910645
standard deviation,0.002234,0.003932899,0.001623555,0.013963089,0.011429296,0.006036859
r3,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001443711,0.003904002,0.001443066,0.011501363,0.008606691,0.005604877
standard deviation,0.001762143,0.004553696,0.001724303,0.013134408,0.010703966,0.007143137
r4,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001229154,0.00126877,0.002386414,0.007901015,0.007221307,0.002735387
standard deviation,0.001459713,0.001508795,0.002813345,0.009624923,0.009230783,0.003492969
r5,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.004155768,0.002292318,0.00293294,0.004203552,0.028591758,0.003622497
standard deviation,0.006268162,0.0027365,0.003975975,0.005122033,0.030451667,0.004400253
r6,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.003560643,0.002643365,0.004036572,0.018760796,0.016324135,0.003946337
standard deviation,0.004711222,0.003537411,0.004326088,0.021704916,0.020378904,0.004940524
r7,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.0028607,0.004028313,0.005751935,0.040875557,0.0241042,0.007465738
standard deviation,0.004015744,0.004631777,0.013343708,0.064684939,0.049479708,0.009089798
r8,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.002107717,0.002493202,0.004446433,0.022891612,0.038877714,0.004909086
standard deviation,0.003422728,0.002957176,0.005277271,0.029813264,0.055447877,0.006176981
r9,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001949127,0.00295797,0.003420631,0.015915544,0.009488652,0.007993549
standard deviation,0.002717144,0.003816285,0.004204459,0.018975442,0.011932282,0.009463923
r10,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001563463,0.002000343,0.001933494,0.005304144,0.007015362,0.00457835
standard deviation,0.001807671,0.002617076,0.002396797,0.007031507,0.008541943,0.00558483
r11,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001354632,0.000871957,0.001703887,0.006215304,0.007297336,0.00454513
standard deviation,0.001641931,0.001085895,0.002054517,0.007311008,0.009169015,0.005739546
r12,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001709332,0.002445503,0.001413107,0.005212065,0.004212397,0.005246577
standard deviation,0.002055499,0.002709427,0.001774967,0.006664591,0.005108617,0.006617579
r13,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.00168749,0.001880731,0.003914782,0.010499473,0.010235377,0.003836026
standard deviation,0.002178749,0.002282524,0.004680202,0.01271387,0.012820836,0.005117084
r14,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.000900656,0.00108723,0.003194718,0.010566473,0.008744433,0.003412611
standard deviation,0.001191052,0.001364581,0.003619945,0.012659945,0.010709796,0.004402745
r15,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001773755,0.001032509,0.001872191,0.008536714,0.005643398,0.003962547
standard deviation,0.002189507,0.001382478,0.002394819,0.010135759,0.007509729,0.004833337
r16,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001799908,0.001438413,0.003388085,0.014724335,0.014850777,0.007211887
standard deviation,0.002497457,0.001850959,0.004174176,0.019076355,0.021376873,0.00888571
r17,,,,,,
